track_id,title,artist,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mbti
6ReKt5x6FVUXTMdWNC6GAQ,Lotus Eater,Foster The People,https://i.scdn.co/image/ab67616d0000b273ca02f2ecba4a803b191c7eab,0.597,0.733,11,25.273,0,0.11,0.00457,0.00191,0.501,0.866,87.479,intp
63OC8cNa4ZnFB3bbvbWCOc,Black Mambo,Glass Animals,https://i.scdn.co/image/ab67616d0000b2737a293e6787c6d200c5077cd0,0.675,0.409,0,19.293,0,0.0423,0.294,0.000596,0.119,0.308,79.954,intj
0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,KALEO,https://i.scdn.co/image/ab67616d0000b273f793a842c1642b09a768a63b,0.489,0.505,10,21.978,0,0.117,0.579,0.000333,0.104,0.337,163.255,intj
4LsFuyopX5kEaVm4m58QCv,Dark In My Imagination,of Verona,https://i.scdn.co/image/ab67616d0000b2739bdc5cf6039ba4117d2595d6,0.278,0.647,6,22.77,1,0.0482,0.00231,0.0,0.173,0.173,167.234,intj
193JYlQX6Nc31LM43HSKPd,"A Love, Tantalize",TerraTara,https://i.scdn.co/image/ab67616d0000b273aa303a4a3e2569ae52b3a154,0.879,0.588,2,20.961,1,0.0483,0.541,0.000885,0.148,0.769,136.026,intj
4WXFDVe299Po8ih6Np54n2,Wolf in Sheep's Clothing (feat. William Beckett),Set It Off,https://i.scdn.co/image/ab67616d0000b2730d02ba3d5ee21b3cd5bb24a4,0.445,0.907,11,26.106,0,0.0773,0.00161,0.0,0.403,0.71,165.069,intj
4xQRRue5qsu2tULiz7UDKi,I Want More,KALEO,https://i.scdn.co/image/ab67616d0000b2732b52c71710e60f97f19439d4,0.55,0.531,8,22.569,1,0.0309,0.256,0.0,0.0509,0.364,98.014,intj
2ag28zkxul9hTpi5ksQLRp,Oh Ana,Mother Mother,https://i.scdn.co/image/ab67616d0000b27352785dc1bbfcf5f7d8562346,0.512,0.525,5,22.848,1,0.0429,0.672,1.66e-05,0.112,0.337,128.054,intj
6BFxwgQOv5RZvQngoaQ1ur,Human,Of Monsters and Men,https://i.scdn.co/image/ab67616d0000b273cfec3ff2e253fc0e786e3019,0.521,0.732,4,24.592,0,0.0321,0.000783,0.57,0.159,0.185,125.99,intj
6nq2It2m9WAWQfZMqRXuCo,Too Strong,Robert Day and the Hoosier Blue,https://i.scdn.co/image/ab67616d0000b273973b5136a514a7d5868134fb,0.51,0.631,10,23.567,1,0.0439,0.574,1.76e-05,0.319,0.738,155.164,intj
6fLKwF2FLBtPNvtrVjYDVz,Used to the Darkness,Des Rocs,https://i.scdn.co/image/ab67616d0000b2732eb4ba21c445087266c23823,0.676,0.747,4,25.361,0,0.0342,0.177,0.0,0.221,0.449,106.021,intj
6WrnSlcN0dzTO80mVVbBto,Do You Want To,Franz Ferdinand,https://i.scdn.co/image/ab67616d0000b27392c508bc5a40ea588bcaed38,0.412,0.944,0,27.104,1,0.0448,0.0724,0.000493,0.801,0.79,123.091,intj
481idAnpIOHEjR4YPsbA0y,Let Me Live / Let Me Die,Des Rocs,https://i.scdn.co/image/ab67616d0000b2732eb4ba21c445087266c23823,0.51,0.759,9,25.146,1,0.101,0.034,0.0,0.077,0.237,91.123,intj
0AUyNF6iFxMNQsNx2nhtrw,Blood // Water,grandson,https://i.scdn.co/image/ab67616d0000b27397d11a89e5fd70347099f7c9,0.51,0.882,8,24.341,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,intj
1TCQSeNbXypaA6YCbiZG3e,Nothing Personal,Des Rocs,https://i.scdn.co/image/ab67616d0000b273c2f6c9f936dc6ef45aa3149f,0.371,0.816,11,24.631999999999998,0,0.0651,0.0187,0.0,0.115,0.263,169.948,intj
1V8fHRK9qQeQqZWWfz9oNU,The Mystic,Adam Jensen,https://i.scdn.co/image/ab67616d0000b273a8252ccecae4ae0e840fc83b,0.557,0.721,4,24.866,0,0.0416,0.356,0.0,0.146,0.392,125.324,intj
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,0.548,0.532,5,22.404,1,0.0323,0.186,0.000263,0.217,0.405,85.03,intj
20I8RduZC2PWMWTDCZuuAN,Take Me Out,Franz Ferdinand,https://i.scdn.co/image/ab67616d0000b27309a90531b85be7899c3234c4,0.277,0.663,4,21.179000000000002,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,intj
58zsLZPvfflaiIbNWoA22O,Human,Rag'n'Bone Man,https://i.scdn.co/image/ab67616d0000b27390a788beadaad34ff684d3ec,0.602,0.707,9,25.903,1,0.302,0.393,0.0,0.165,0.554,75.087,intj
1Qv1K2UaXTyCjppspCtNoS,Honey Whiskey,Nothing But Thieves,https://i.scdn.co/image/ab67616d0000b273176e29e598499208ff338ae1,0.461,0.762,5,24.852,0,0.0654,0.0242,4.52e-06,0.211,0.64,179.853,intj
2mandRPkTiTvldKI2JcOng,"The Four Seasons - Concerto No. 1 in E Major, RV 269 ""Spring"": I. Allegro",Antonio Vivaldi,https://i.scdn.co/image/ab67616d0000b2737b0135d36182dc995464d027,0.455,0.142,4,14.013,1,0.0386,0.823,0.87,0.394,0.302,95.249,intj
00RI7b6oZDjx6IQC2eH6bh,Hellfire,Barns Courtney,https://i.scdn.co/image/ab67616d0000b2732a9e5743f2d7c93c43fee849,0.529,0.847,4,24.487000000000002,0,0.0482,0.244,0.0,0.205,0.69,93.977,intj
6LrNqp69g8ngQ0Oem7DGWK,Cola,Lana Del Rey,https://i.scdn.co/image/ab67616d0000b273cb76604d9c5963544cf5be64,0.298,0.668,1,24.464,0,0.0478,0.0699,2.44e-05,0.59,0.121,110.063,intj
7gotR2Tz1kSB3skypo51IU,Bad Blood,Welshly Arms,https://i.scdn.co/image/ab67616d0000b2737d776174cd588ad2b8a0000a,0.567,0.754,7,23.829,1,0.0516,0.0471,9.27e-06,0.119,0.465,97.963,intj
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d,0.352,0.911,1,24.77,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,intj
6kb3WAM7f8sDjpoxnOxJjC,way it goes,Middle Child,https://i.scdn.co/image/ab67616d0000b2733495034a354af9c50dcaa35a,0.632,0.394,7,20.66,0,0.0356,0.423,0.0,0.107,0.133,144.93,intj
4GwNeCsNlcnxtss75iWnDY,The Hounds,The Protomen,https://i.scdn.co/image/ab67616d0000b2732aebc24a73d728ab67d8088c,0.602,0.902,1,25.906,0,0.0959,0.00193,0.0745,0.0726,0.579,103.812,entj
3m6KkYKdnbffMpGd9Pm9FP,Seven Nation Army,The White Stripes,https://i.scdn.co/image/ab67616d0000b273f5ae4810a9529d7614e28e76,0.745,0.466,4,22.38,0,0.0864,0.00666,0.35,0.272,0.303,123.889,entj
5oyCruHORvRI8UEh9xVyam,Horns,Bryce Fox,https://i.scdn.co/image/ab67616d0000b2731e2b9eb0e0db197c02832be7,0.49,0.753,6,24.589,1,0.238,0.081,2.85e-06,0.268,0.325,156.241,entj
78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Doja Cat,https://i.scdn.co/image/ab67616d0000b27310356a0e81371e6644cb1371,0.707,0.955,10,25.407,0,0.222,0.127,0.0,0.202,0.575,125.989,entj
6UF6CRChITZJFfI5ASxm3E,Frozen Lemonade,Turell,https://i.scdn.co/image/ab67616d0000b273af490d6e188eb0b3af9ec7d1,0.494,0.703,4,21.889,0,0.369,0.0969,0.0,0.104,0.797,100.231,entj
1u3OqnFAVvNREqnGs0KqeZ,Papas and Mamas,Los Angeles,https://i.scdn.co/image/ab67616d0000b27365a8c2c7747d50bb5ba0497a,0.404,0.67,9,23.748,1,0.0369,0.00117,0.148,0.349,0.16,125.826,entj
5AVVFuUiBCZcpsWc5eUE4E,Reflection,#R!sK,https://i.scdn.co/image/ab67616d0000b27321c190fff9edfc40b791d584,0.587,0.943,5,25.158,0,0.0568,0.00116,0.489,0.115,0.566,120.031,entj
7l94dyN2hX9c6wWcZQuOGJ,Dangerous Woman,Ariana Grande,https://i.scdn.co/image/ab67616d0000b2735f9393fda71e7df39b34defd,0.664,0.602,4,24.631,0,0.0412,0.0529,0.0,0.356,0.289,134.049,entj
7GHKA8GIMcND6c5nN1sFnD,Sexbomb,Tom Jones,https://i.scdn.co/image/ab67616d0000b27313b37e7dd8f09d2e3c99c826,0.801,0.876,8,26.06,0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,entj
6Iq4PpPE6rMeDzeGyqgqzG,Feel It in My Bones,Amann & The Wayward Sons,https://i.scdn.co/image/ab67616d0000b2738f417a041bb1406879049beb,0.357,0.725,8,22.841,1,0.0619,0.0151,0.243,0.145,0.597,201.438,entj
16enHStc8Ppfq8nRbgqquo,Satan Is His Name,Holly Golightly,https://i.scdn.co/image/ab67616d0000b273032699dd52fda21ceb483e4f,0.82,0.477,0,21.863,0,0.0345,0.0411,0.00328,0.116,0.872,106.501,entj
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d,0.692,0.711,0,22.502,0,0.0317,0.225,0.0,0.12,0.875,125.135,entj
1Mf27cnAF1Q6Ko83XTM5d1,Glitter & Gold,Barns Courtney,https://i.scdn.co/image/ab67616d0000b2732a9e5743f2d7c93c43fee849,0.487,0.625,8,24.887999999999998,1,0.0401,0.374,0.0,0.226,0.351,170.397,entj
