_id,artist,image_url,release_date,id,name,popularity,mbti
61b1eebb2dde1bd4a71304b8,Call Me Karizma,https://i.scdn.co/image/ab67616d0000b273ebc3ea9efe370f5461973b9d,2019-07-26,7fBKbK8897K5V5zgr7ymIz,Rebels,68,estp
61b1eebb2dde1bd4a71304b9,Hobo Johnson,https://i.scdn.co/image/ab67616d0000b2733bf723a8f9cb66971812f472,2019-09-13,3EY1vEkydU2oguC17jzhTZ,Typical Story,62,estp
61b1eebb2dde1bd4a71304ba,AURORA,https://i.scdn.co/image/ab67616d0000b273d3a757231b119bacf68b3ec2,2014,0TCmhnbMpw5zwPsTvlXTJi,Runaway,76,isfp
61b1eebb2dde1bd4a71304bb,carolesdaughter,https://i.scdn.co/image/ab67616d0000b2734c45a78f4aeaf419f25135f5,2020-11-23,7CFfqRW50ffULvBv7lfIIg,Violent,76,isfp
61b1eebb2dde1bd4a71304bc,Surf Curse,https://i.scdn.co/image/ab67616d0000b2736e1b42c6839befe5498dbefc,2015-05-10,3LKMTu8clGSAAfSA1IsA47,Goth Babe,57,isfp
61b1eebb2dde1bd4a71304bd,Mounika.,https://i.scdn.co/image/ab67616d0000b2732882d91037e3a89b54a103f1,2017-06-24,3DYZKxjG8SZrWpVcoUilqQ,Cut My Hair,63,isfp
61b1eebb2dde1bd4a71304be,Frances Forever,https://i.scdn.co/image/ab67616d0000b2735bf94c975a1a77b614c00283,2020-03-27,7FjIYiD53wxlQmzTT6Wdpf,space girl,73,isfp
61b1eebb2dde1bd4a71304bf,Jack Stauber,https://i.scdn.co/image/ab67616d0000b273f65bfa6478ec5f1895d37d8f,2017-03-25,6SZwj6cjc8JQbkrr8cbIUn,Oh Klahoma,76,isfp
61b1eebb2dde1bd4a71304c0,LLusion,https://i.scdn.co/image/ab67616d0000b273ce776769ed7249e6a28f7afe,2020-06-18,4Kpt4pk9xgOlIgu9qvUrxC,walk but in a garden (with mxmtoon),55,isfp
61b1eebb2dde1bd4a71304c1,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b273dcd504f678c14b1593605ff5,2006-02-21,0ZRrJTPXDToRJ2iLo9oLrW,When The Sun Goes Down,62,isfp
61b1eebb2dde1bd4a71304c2,The Marías,https://i.scdn.co/image/ab67616d0000b2730924b9c6232d2348d4efa0dc,2017-11-03,190IqlryWu91WBKeDgZqZz,Only in My Dreams,68,isfp
61b1eebb2dde1bd4a71304c3,Lorde,https://i.scdn.co/image/ab67616d0000b273f8553e18a11209d4becd0336,2017-06-16,5q4BpnMrYEFzLO0dYODj6J,The Louvre,66,isfp
61b1eebb2dde1bd4a71304c4,girl in red,https://i.scdn.co/image/ab67616d0000b2736c49a1aab054d5a62558af43,2020-08-26,6lhuBaygBqxBjdcXrM685k,Rue,63,isfp
61b1eebb2dde1bd4a71304c5,Catfish and the Bottlemen,https://i.scdn.co/image/ab67616d0000b273b87da477ad10e87b09b88d1e,2014-09-15,1MHYAqWWdDRePmnqORynrq,Kathleen,66,isfp
61b1eebb2dde1bd4a71304c6,Sir Chloe,https://i.scdn.co/image/ab67616d0000b273c852d66144c55d43b9d8b276,2019-04-11,3sa1wUB8FAkoH95MGPGBWI,Michelle,65,isfp
61b1eebb2dde1bd4a71304c7,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,2013-09-09,086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,86,isfp
61b1eebb2dde1bd4a71304c8,Lana Del Rey,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f,2014-01-01,5Y6nVaayzitvsD5F7nr3DV,West Coast,72,isfp
61b1eebb2dde1bd4a71304c9,Lana Del Rey,https://i.scdn.co/image/ab67616d0000b273a3b3f48ca81acacb3ad4ec8a,2015-09-18,7g3htkaLz4ETFn0cifwM3y,High By The Beach,68,isfp
61b1eebb2dde1bd4a71304ca,Eyedress,https://i.scdn.co/image/ab67616d0000b273a56906d8f2ddb9642ee6e6e9,2019-12-06,5s2zbxZI4Ym5LTKwjZHS2V,Jealous,71,isfp
61b1eebb2dde1bd4a71304cb,The Lumineers,https://i.scdn.co/image/ab67616d0000b273cd34380a48c22de3d0e475de,2016-04-08,3d8y0t70g7hw2FOWl9Z4Fm,Ophelia,76,isfp
61b1eebb2dde1bd4a71304cc,Wild Party,https://i.scdn.co/image/ab67616d0000b273b2b05168e86b0af78ede0d97,2014-10-07,21xou84xCn9aF4z2N5GzTK,Life's Too Short,47,isfp
61b1eebb2dde1bd4a71304cd,Mitski,https://i.scdn.co/image/ab67616d0000b273e90db8983ebd43b776694179,2014-11-11,5411TEB6tlzvuF5A4oyldr,Francis Forever,75,isfp
61b1eebb2dde1bd4a71304ce,The Japanese House,https://i.scdn.co/image/ab67616d0000b2734408ede3829b9cbcaea9f3b8,2017-06-30,0U3u0HdRQjD8mAMYBak4Ok,Saw You In A Dream,69,isfp
61b1eebb2dde1bd4a71304cf,Cavetown,https://i.scdn.co/image/ab67616d0000b27317add53ee7ef16ac10e6f8a9,2019-04-12,6suYoN4gFkanqOBn5yRnJC,Boys Will Be Bugs,77,isfp
61b1eebb2dde1bd4a71304d0,Coyote Theory,https://i.scdn.co/image/ab67616d0000b273d45404b4c5a5444cb06c9f7b,2020-12-11,79EkGysjP2dL5GdpeQjRxT,This Side of Paradise,79,isfp
61b1eebb2dde1bd4a71304d1,Mitski,https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117,2018-08-17,3pANfZVFdtuVnJsE6xa5Ox,Me and My Husband,78,isfp
61b1eebb2dde1bd4a71304d2,beabadoobee,https://i.scdn.co/image/ab67616d0000b273fe11583497b2a332995b88ed,2018-12-07,6F5mZpEEjhsAW8UEqbIpz1,Tired,74,isfp
61b1eebb2dde1bd4a71304d3,Kuwada,https://i.scdn.co/image/ab67616d0000b27352a6eabad98cde4e6e317b9c,2018-02-09,44uCMdE6RWnkOFYTtbmUUc,Cherry Cola,64,isfp
61b1eebb2dde1bd4a71304d4,Limbo,https://i.scdn.co/image/ab67616d0000b27393b80cc9f023064b3b8ca7b2,2018-01-08,69GQG5cXGUFq4dqCbExWui,Airplane Mode,68,isfp
61b1eebb2dde1bd4a71304d5,mxmtoon,https://i.scdn.co/image/ab67616d0000b27343def9298e39310a2033b8d1,2018-12-07,2h3Q3wDxLNfBh0yX8d3jib,cliché,66,isfp
61b1eebb2dde1bd4a71304d6,Peach Pit,https://i.scdn.co/image/ab67616d0000b273241c6f0d19ffcda38f58c7f8,2018-06-27,0ZK8TGOsngrstVPsnrHbK1,Peach Pit,65,isfp
