_id,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,type,valence
61b1eeb52dde1bd4a71302bc,0.234,0.692,0.494,78Vm1H6bT8WQyPNyx7HBhP,0.00453,1,0.122,-12.232,0,0.0581,139.874,audio_features,0.469
61b1eeb52dde1bd4a71302bd,0.593,0.93,0.611,0KyAGiNGUytG5JLxJu4F6l,0.00124,0,0.0592,-4.406,1,0.0415,112.127,audio_features,0.695
61b1eeb52dde1bd4a71302be,0.113,0.566,0.366,1BYZxKSf0aTxp8ZFoeyM3d,0.181,7,0.155,-12.808,1,0.028,129.959,audio_features,0.237
61b1eeb52dde1bd4a71302bf,0.0576,0.558,0.909,5Bge1Dsqjc14hhGguYML5w,0,7,0.102,-5.851,1,0.0406,114.56,audio_features,0.452
61b1eeb52dde1bd4a71302c0,0.0004,0.568,0.569,5v8aEcHcaJIGYpfVVPtJjI,0.102,7,0.342,-6.013,0,0.0329,72.991,audio_features,0.266
61b1eeb52dde1bd4a71302c1,0.124,0.652,0.8,5czZkLGepjburbkbEaCfm4,0.0000187,9,0.121,-7.37,1,0.0313,126.985,audio_features,0.933
61b1eeb52dde1bd4a71302c2,0.00548,0.325,0.867,0Kd1R41kTx9Uzk30yv5PP7,0.00000433,4,0.103,-5.53,1,0.0809,144.866,audio_features,0.336
61b1eeb52dde1bd4a71302c3,0.0234,0.338,0.819,7t19ubLwfZubJh2HpCUTrC,0,3,0.129,-5.666,1,0.0736,118.905,audio_features,0.698
61b1eeb52dde1bd4a71302c4,0.749,0.295,0.478,0rPsA6WNBe8BdSgth2z0HG,0.000208,7,0.436,-7.844,1,0.0325,169.846,audio_features,0.17
61b1eeb52dde1bd4a71302c5,0.0212,0.623,0.661,37adYGaYaAWTGhBaOzX4Fh,0.000229,9,0.267,-7,1,0.1,151.97,audio_features,0.63
61b1eeb52dde1bd4a71302c6,0.599,0.828,0.577,0Dfctnkk9xIikDKJ06uwzo,0,6,0.0814,-7.656,0,0.158,86.339,audio_features,0.587
61b1eeb52dde1bd4a71302c7,0.0539,0.77,0.896,4sNwdacKyi2S26WrRtNama,0,0,0.243,-3.971,1,0.039,126.999,audio_features,0.964
61b1eeb52dde1bd4a71302c8,0.699,0.484,0.749,6DONTnamNDOJdO6DzCu71p,0.861,1,0.105,-4.176,1,0.0687,160.006,audio_features,0.468
61b1eeb52dde1bd4a71302c9,0.34,0.714,0.82,18Gcl5bxdd8bpBhWOj1rCR,0,1,0.0801,-1.102,1,0.444,78.032,audio_features,0.904
61b1eeb52dde1bd4a71302ca,0.0242,0.642,0.538,1Z8gpnzgTFQKAwmV43iLBB,0,8,0.273,-7.206,1,0.0696,143.921,audio_features,0.57
61b1eeb52dde1bd4a71302cb,0.00016,0.5,0.824,4P5KoWXOxwuobLmHXLMobV,0.00161,4,0.0916,-5.846,0,0.0388,120.125,audio_features,0.539
61b1eeb52dde1bd4a71302cc,0.145,0.733,0.71,7w87IxuO7BDcJ3YUqCyMTT,0.115,5,0.0956,-5.849,0,0.0292,127.975,audio_features,0.965
61b1eeb52dde1bd4a71302cd,0.0411,0.603,0.834,4bJygwUKrRgq1stlNXcgMg,0.00609,5,0.105,-5.766,0,0.0417,89.957,audio_features,0.376
61b1eeb52dde1bd4a71302ce,0.216,0.457,0.943,2NBxGmbCTLArOiMyWEWsPE,0.000245,1,0.206,-5.271,0,0.0768,101.837,audio_features,0.373
61b1eeb52dde1bd4a71302cf,0.000335,0.58,0.908,5i7ThJfYLAzp2DyZuFpF6j,0.0000484,4,0.087,-5.303,1,0.0341,115.016,audio_features,0.427
61b1eeb52dde1bd4a71302d0,0.00146,0.654,0.828,2x8evxqUlF0eRabbW2JBJd,0.000144,1,0.122,-5.377,0,0.0281,112.056,audio_features,0.79
61b1eeb52dde1bd4a71302d1,0.00349,0.847,0.801,21DhGvrfC9W2FBjW5EJmWE,0,6,0.331,-4.382,1,0.0866,109.053,audio_features,0.744
61b1eeb52dde1bd4a71302d2,0.18,0.421,0.887,7MlAND46qL6L5npwOhbaZK,0.00177,0,0.52,-4.929,1,0.0574,78.986,audio_features,0.45
61b1eeb52dde1bd4a71302d3,0.00252,0.537,0.893,2nZ33CKRbgpJQJJQKHuGXb,0.0211,0,0.0636,-5.459,1,0.0893,183.78,audio_features,0.499
61b1eeb52dde1bd4a71302d4,0.121,0.369,0.864,051nqR620urZn0vaTzAzoz,0.317,9,0.103,-8.104,1,0.418,163.078,audio_features,0.164
61b1eeb52dde1bd4a71302d5,0.00119,0.355,0.918,3n3Ppam7vgaVa1iaRUc9Lp,0,1,0.0971,-4.36,1,0.0746,148.114,audio_features,0.24
61b1eeb52dde1bd4a71302d6,0.414,0.86,0.717,3IBGU1NgiTjDsIJn2Jtdg4,0,1,0.0843,-5.542,0,0.48,158.019,audio_features,0.812
61b1eeb52dde1bd4a71302d7,0.0213,0.589,0.614,113xf7t4qNM7038YJvauik,0.165,0,0.31,-7.528,0,0.0426,119.837,audio_features,0.318
61b1eeb52dde1bd4a71302d8,0.0678,0.588,0.521,5E30LdtzQTGqRvNd7l6kG5,0.149,10,0.123,-9.461,1,0.0329,85.012,audio_features,0.337
61b1eeb52dde1bd4a71302d9,0.556,0.76,0.479,3KkXRkHbMCARz0aVfEt68P,0,2,0.0703,-5.574,1,0.0466,89.911,audio_features,0.913
61b1eeb52dde1bd4a71302da,0.00301,0.471,0.924,2iUmqdfGZcHIhS3b9E9EWq,0,8,0.313,-3.906,1,0.0586,154.961,audio_features,0.725
61b1eeb52dde1bd4a71302db,0.932,0.587,0.389,5YKGHpXZUPSnChwYxbZHW9,0.863,4,0.185,-24.327,0,0.0435,134,audio_features,0.929
61b1eeb52dde1bd4a71302dc,0.0249,0.663,0.694,1RKUoGiLEbcXN4GY4spQDx,0,10,0.0698,-8.627,0,0.172,167.964,audio_features,0.524
61b1eeb52dde1bd4a71302dd,0.0000255,0.502,0.912,1f3yAtsJtY87CTmM8RLnxf,0.000173,1,0.106,-4.556,1,0.0564,116.761,audio_features,0.72
61b1eeb52dde1bd4a71302de,0.672,0.512,0.525,45i70K1PefHafKui2WxH0M,0.0000166,5,0.112,-7.152,1,0.0429,128.054,audio_features,0.337
61b1eeb52dde1bd4a71302df,0.804,0.535,0.319,1qFWOGLf8rX2lOLrR9wicN,0.00000391,9,0.227,-15.397,1,0.0745,142.883,audio_features,0.457
61b1eeb52dde1bd4a71302e0,0.0161,0.526,0.712,1eyzqe2QqGZUmfcPZtrIyt,0,11,0.179,-6.525,0,0.0356,105.009,audio_features,0.32
61b1eeb52dde1bd4a71302e1,0.868,0.648,0.22,4ZUv5GgKcziw6ZjyxUfudU,0,5,0.291,-10.735,1,0.0503,110.706,audio_features,0.614
61b1eeb52dde1bd4a71302e2,0.0274,0.565,0.528,53CIXq2ZLCT05BgOWq9ZeH,0.0166,6,0.294,-14.263,1,0.0986,148.34,audio_features,0.0409
61b1eeb62dde1bd4a71302e3,0.0117,0.42,0.544,4PqdOR9uAfyNp67P9k3bH2,0.803,7,0.166,-13.45,1,0.0465,90.092,audio_features,0.59
61b1eeb62dde1bd4a71302e4,0.00269,0.331,0.61,7wYU1avLwl1Gtkib8OTrZp,0.0548,9,0.14,-8.138,1,0.0293,132.746,audio_features,0.55
61b1eeb62dde1bd4a71302e5,0.166,0.601,0.649,0oHEteATZnAZuA9dl1dXF3,0.0000335,7,0.165,-6.979,1,0.133,89.73,audio_features,0.351
61b1eeb62dde1bd4a71302e6,0.0536,0.462,0.945,6hIOunhsLUT66KQgZV5dMD,0.746,2,0.11,-1.887,1,0.0399,165.153,audio_features,0.477
61b1eeb62dde1bd4a71302e7,0.593,0.93,0.611,0KyAGiNGUytG5JLxJu4F6l,0.00124,0,0.0592,-4.406,1,0.0415,112.127,audio_features,0.695
61b1eeb62dde1bd4a71302e8,0.00448,0.447,0.967,6EE19skJ32p58xihYj2Waa,0,0,0.487,-2.706,1,0.0793,179.991,audio_features,0.606
61b1eeb62dde1bd4a71302e9,0.00207,0.774,0.75,27L8sESb3KR79asDUBu8nW,0.0000178,11,0.0808,-4.927,0,0.0412,118.015,audio_features,0.927
61b1eeb62dde1bd4a71302ea,0.000532,0.535,0.521,6SQLk9HSNketfgs2AyIiMs,0.371,0,0.19,-5.942,1,0.0272,140.026,audio_features,0.457
61b1eeb62dde1bd4a71302eb,0.901,0.675,0.408,0mr8FAnN9X70p5KRUwMIJx,0.000714,0,0.16,-10.861,1,0.142,90.111,audio_features,0.229
