_id,album.artists,album.images,album.release_date,id,name,popularity,type
61b1eeb92dde1bd4a7130492,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0bBz5bRBkExaej2HxtVfCw""},""href"":""https://api.spotify.com/v1/artists/0bBz5bRBkExaej2HxtVfCw"",""id"":""0bBz5bRBkExaej2HxtVfCw"",""name"":""347aidan"",""type"":""artist"",""uri"":""spotify:artist:0bBz5bRBkExaej2HxtVfCw""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2735f4fbb2f9c3de128e526944c"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e025f4fbb2f9c3de128e526944c"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048515f4fbb2f9c3de128e526944c"",""width"":64}]",2020-10-26,6Pgmqg15yVexuOgtzuxwoX,Dancing in My Room,80,esfp
61b1eeb92dde1bd4a7130493,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6CwfuxIqcltXDGjfZsMd9A""},""href"":""https://api.spotify.com/v1/artists/6CwfuxIqcltXDGjfZsMd9A"",""id"":""6CwfuxIqcltXDGjfZsMd9A"",""name"":""MARINA"",""type"":""artist"",""uri"":""spotify:artist:6CwfuxIqcltXDGjfZsMd9A""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273203e4c6a048df02a21cdd813"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02203e4c6a048df02a21cdd813"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851203e4c6a048df02a21cdd813"",""width"":64}]",2012-04-30,4sOX1nhpKwFWPvoMMExi3q,Primadonna,72,esfp
61b1eeb92dde1bd4a7130494,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3""},""href"":""https://api.spotify.com/v1/artists/6KImCVD70vtIoJWnq6nGn3"",""id"":""6KImCVD70vtIoJWnq6nGn3"",""name"":""Harry Styles"",""type"":""artist"",""uri"":""spotify:artist:6KImCVD70vtIoJWnq6nGn3""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e026c619c39c853f8b1d67b7859"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048516c619c39c853f8b1d67b7859"",""width"":64}]",2017-05-12,33SNO8AaciGbNaQFkxvPrW,Kiwi,80,esfp
61b1eeb92dde1bd4a7130495,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa""},""href"":""https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa"",""id"":""00FQb4jTyendYWaN8pK0wa"",""name"":""Lana Del Rey"",""type"":""artist"",""uri"":""spotify:artist:00FQb4jTyendYWaN8pK0wa""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02f894be72a77b1488292672c7"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851f894be72a77b1488292672c7"",""width"":64}]",2012-01-01,6BFnRhvKCclDQOajt8dBGi,Diet Mountain Dew,56,esfp
61b1eeb92dde1bd4a7130496,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/63yrD80RY3RNEM2YDpUpO8""},""href"":""https://api.spotify.com/v1/artists/63yrD80RY3RNEM2YDpUpO8"",""id"":""63yrD80RY3RNEM2YDpUpO8"",""name"":""Melanie Martinez"",""type"":""artist"",""uri"":""spotify:artist:63yrD80RY3RNEM2YDpUpO8""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2733899712512f50a8d9e01e951"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e023899712512f50a8d9e01e951"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048513899712512f50a8d9e01e951"",""width"":64}]",2015-08-14,4DpNNXFMMxQEKl7r0ykkWA,Play Date,82,esfp
61b1eeb92dde1bd4a7130497,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0e86yPdC41PGRkLp2Q1Bph""},""href"":""https://api.spotify.com/v1/artists/0e86yPdC41PGRkLp2Q1Bph"",""id"":""0e86yPdC41PGRkLp2Q1Bph"",""name"":""Mother Mother"",""type"":""artist"",""uri"":""spotify:artist:0e86yPdC41PGRkLp2Q1Bph""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2734f2dc51d1c8453753af90ad0"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e024f2dc51d1c8453753af90ad0"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048514f2dc51d1c8453753af90ad0"",""width"":64}]",2007-05-08,266Vb7ItE3o1q8HdJ9QOvn,Verbatim,76,esfp
61b1eeb92dde1bd4a7130498,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/1vkWdqcabQ1swciXipkLBj""},""href"":""https://api.spotify.com/v1/artists/1vkWdqcabQ1swciXipkLBj"",""id"":""1vkWdqcabQ1swciXipkLBj"",""name"":""awfultune"",""type"":""artist"",""uri"":""spotify:artist:1vkWdqcabQ1swciXipkLBj""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b27324921d31f2bd373aaf04a6ab"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e0224921d31f2bd373aaf04a6ab"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d0000485124921d31f2bd373aaf04a6ab"",""width"":64}]",2019-07-31,0mr8FAnN9X70p5KRUwMIJx,I Met Sarah in the Bathroom,81,esfp
61b1eeb92dde1bd4a7130499,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4Uc8Dsxct0oMqx0P6i60ea""},""href"":""https://api.spotify.com/v1/artists/4Uc8Dsxct0oMqx0P6i60ea"",""id"":""4Uc8Dsxct0oMqx0P6i60ea"",""name"":""Conan Gray"",""type"":""artist"",""uri"":""spotify:artist:4Uc8Dsxct0oMqx0P6i60ea""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b27388e3cda6d29b2552d4d6bc43"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e0288e3cda6d29b2552d4d6bc43"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d0000485188e3cda6d29b2552d4d6bc43"",""width"":64}]",2020-03-20,6uaBrivDHCaV0uBTiwHTUi,Comfort Crowd,70,esfp
61b1eeb92dde1bd4a713049a,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0pCNk4D3E2xtszsm6hMsWr""},""href"":""https://api.spotify.com/v1/artists/0pCNk4D3E2xtszsm6hMsWr"",""id"":""0pCNk4D3E2xtszsm6hMsWr"",""name"":""K.Flay"",""type"":""artist"",""uri"":""spotify:artist:0pCNk4D3E2xtszsm6hMsWr""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273be9f834ad14e0d95a35a6981"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02be9f834ad14e0d95a35a6981"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851be9f834ad14e0d95a35a6981"",""width"":64}]",2017-04-07,1qwno7xb5mJe71xtMS6jl2,High Enough,79,esfp
61b1eebb2dde1bd4a713049b,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/5R5MLOQbI4lb7GHYioPqoN""},""href"":""https://api.spotify.com/v1/artists/5R5MLOQbI4lb7GHYioPqoN"",""id"":""5R5MLOQbI4lb7GHYioPqoN"",""name"":""Mindless Self Indulgence"",""type"":""artist"",""uri"":""spotify:artist:5R5MLOQbI4lb7GHYioPqoN""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273d35b1b5785bad9b1f8520b93"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02d35b1b5785bad9b1f8520b93"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851d35b1b5785bad9b1f8520b93"",""width"":64}]",2011-04-26,1kTZ1aERsOBTrihsDdGFNn,Molly,70,estp
61b1eebb2dde1bd4a713049c,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7s3OoIocX1gTOnEvCg2VV8""},""href"":""https://api.spotify.com/v1/artists/7s3OoIocX1gTOnEvCg2VV8"",""id"":""7s3OoIocX1gTOnEvCg2VV8"",""name"":""McCafferty"",""type"":""artist"",""uri"":""spotify:artist:7s3OoIocX1gTOnEvCg2VV8""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b2735d4dbee48fb65c87ab07b69f"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e025d4dbee48fb65c87ab07b69f"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d000048515d4dbee48fb65c87ab07b69f"",""width"":64}]",2017-11-27,2ZMxeRHTaoH1GgYAv16QyB,Trees,61,estp
61b1eebb2dde1bd4a713049d,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/5R5MLOQbI4lb7GHYioPqoN""},""href"":""https://api.spotify.com/v1/artists/5R5MLOQbI4lb7GHYioPqoN"",""id"":""5R5MLOQbI4lb7GHYioPqoN"",""name"":""Mindless Self Indulgence"",""type"":""artist"",""uri"":""spotify:artist:5R5MLOQbI4lb7GHYioPqoN""}]","[{""height"":640,""url"":""https://i.scdn.co/image/ab67616d0000b273ccb1ab81191b680b84a2e616"",""width"":640},{""height"":300,""url"":""https://i.scdn.co/image/ab67616d00001e02ccb1ab81191b680b84a2e616"",""width"":300},{""height"":64,""url"":""https://i.scdn.co/image/ab67616d00004851ccb1ab81191b680b84a2e616"",""width"":64}]",2008-04-29,0YKPrW5i0gcJ9e5GNSAQti,Lights Out,59,estp
